	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_6351	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_X	Acetobacteraceae_X_sp.
ASV_10510	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_X	Acetobacteraceae_X_sp.
ASV_13223	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_X	Acetobacteraceae_X_sp.
ASV_1034	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_2353	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_2754	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_5188	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_7771	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_8382	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_10919	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_83	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_93	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthidium	Achnanthidium_minutissimum
ASV_803	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	Achromadora_cf
ASV_1473	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	Achromadora_cf
ASV_2182	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	Achromadora_cf
ASV_2190	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	Achromadora_ruricola
ASV_3643	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	Achromadora_ruricola
ASV_4032	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	Achromadora_ruricola
ASV_14271	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Achromadora	Achromadora_ruricola
ASV_3221	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_4142	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_4386	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_4665	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_5931	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_6198	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_6467	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_6744	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_7276	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_10077	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_11774	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_12488	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_14783	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis_X	Acidibacter	Acidibacter_sp.
ASV_8901	Bacteria	Bacteria_X	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	Acidiphilium_sp.
ASV_7953	Bacteria	Bacteria_X	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacteriaceae_(Subgroup_1)_X	Acidobacteriaceae_(Subgroup_1)_X_sp.
ASV_10079	Bacteria	Bacteria_X	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacteriaceae_(Subgroup_1)_X	Acidobacteriaceae_(Subgroup_1)_X_sp.
ASV_6732	Bacteria	Bacteria_X	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriales_X	Acidobacteriales_XX	Acidobacteriales_XX_sp.
ASV_11367	Bacteria	Bacteria_X	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriales_X	Acidobacteriales_XX	Acidobacteriales_XX_sp.
ASV_11444	Bacteria	Bacteria_X	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriales_X	Acidobacteriales_XX	Acidobacteriales_XX_sp.
ASV_2240	Eukaryota	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Acineria	Acineria_incurvata
ASV_4593	Eukaryota	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Acineria	Acineria_incurvata
ASV_7905	Eukaryota	Alveolata	Ciliophora	Phyllopharyngea	Suctoria	Acinetidae_2	Acineta	Acineta_tuberosa
ASV_10822	Bacteria	Bacteria_X	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_sp.
